-61,330
-66,636
-66,952
-69,1113
-68,1424
-68,1741
-128,0
-72,15227
-72,15255
-70,15333
-70,15359
-70,15432
-70,15458
-67,15531
-65,15555
-66,15625
-65,15645
-69,15727
-69,15754
-65,15830
-64,15854
-63,15936
-69,16017
-69,16040
-64,16121
-64,16142
-67,16217
-68,16242
-65,16311
-67,16341
-64,16439
-65,16516
-65,16539
-67,16634
-59,16715
-59,16738
-60,16835
-60,16858
-65,16912
-65,16940
-60,17027
-60,17048
-66,17126
-65,17156
-68,17212
-68,17237
-68,17261
-58,17335
-66,17413
-67,17437
-75,17532
-76,17559
-65,17627
-66,17648
-65,17729
-64,17751
-69,17821
-69,17846
-66,17924
-69,17948
-65,18031
-64,18055
-67,18132
-67,18158
-65,18234
-62,18256
-63,18333
-64,18358
-72,18434
-76,18456
-65,18528
-61,18551
-61,18625
-63,18652
-69,18726
-74,18754
-57,18824
-56,18852
-55,18926
-56,18947
-68,19012
-69,19037
-57,19113
-56,19133
-57,19219
-57,19249
-64,19321
-63,19346
-54,19424
-55,19449
-62,19524
-62,19553
-65,19628
-65,19649
-57,19722
-56,19743
-58,19814
-59,19840
-68,19917
-64,19940
-57,20036
-53,20055
-60,20131
-69,20214
-63,20236
-54,20312
-56,20335
-58,20422
-63,20446
-65,20522
-63,20548
-55,20629
-57,20650
-59,20734
-58,20759
-63,20814
-65,20836
-63,20861
-54,20923
-55,20947
-54,21018
-55,21041
-61,21125
-58,21154
-54,21233
-56,21260
-58,21335
-65,21415
-66,21438
-51,21515
-52,21541
-55,21617
-55,21639
-63,21739
-56,21819
-55,21840
-55,21914
-56,21938
-56,21960
-59,22033
-59,22059
-59,22126
-59,22152
-68,22217
-69,22239
-72,22261
-68,22315
-67,22344
-61,22414
-61,22435
-63,22458
-64,22531
-64,22560
-71,22632
-73,22659
-61,22729
-60,22751
-63,22819
-63,22842
-68,22920
-68,22945
-68,23013
-69,23035
-68,23112
-67,23134
-64,23160
-67,23238
-64,23315
-67,23336
-69,23361
-73,23427
-73,23449
-77,23539
-67,23631
-68,23652
-66,23731
-65,23753
-72,23833
-74,23856
-72,23925
-70,23950
-67,24014
-69,24043
-70,24126
-71,24150
-65,24226
-63,24247
-62,24323
-62,24352
-76,24429
-77,24457
-61,24534
-60,24640
-65,24732
-65,24752
-58,24832
-58,24852
-62,24928
-62,24954
-70,25029
-71,25056
-60,25133
-60,25157
-65,25222
-65,25248
-73,25330
-74,25357
-56,25431
-56,25460
-59,25534
-59,25554
-66,25630
-65,25652
-55,25722
-56,25751
-59,25823
-59,25843
-68,25925
-65,25954
-60,26020
-60,26043
-62,26128
-62,26155
-69,26234
-67,26260
-64,26333
-65,26353
-65,26432
-66,26530
-66,26550
-61,26628
-61,26657
-62,26730
-62,26759
-68,26814
-69,26834
-62,26932
-64,26952
-66,27022
-66,27041
-74,27122
-73,27143
-63,27219
-63,27243
-67,27316
-67,27340
-71,27414
-71,27437
-72,27458
-66,27525
-67,27545
-64,27614
-62,27639
-68,27720
-68,27749
-61,27830
-60,27858
-61,27912
-61,27940
-69,28029
-70,28054
-62,28131
-62,28157
-65,28233
-74,28312
-76,28337
-77,28359
-62,28437
-61,28458
-64,28512
-64,28541
-68,28631
-68,28653
-68,28715
-68,28744
-67,28821
-66,28841
-72,28925
-71,28953
-62,29035
-65,29119
-64,29148
-67,29218
-68,29242
-63,29325
-63,29352
-75,29419
-72,29442
-75,29516
-70,29542
-62,29638
-65,29712
-65,29734
-67,29815
-67,29835
-62,29932
-62,29954
-63,30030
-62,30058
-67,30125
-68,30151
-64,30217
-63,30241
-63,30321
-62,30346
-68,30420
-70,30444
-62,30516
-61,30538
-62,30620
-62,30646
-67,30723
-67,30745
-59,30830
-58,30851
-60,30928
-60,30955
-65,31028
-65,31048
-57,31124
-60,31148
-59,31228
-59,31250
-63,31326
-62,31348
-60,31420
-57,31447
-61,31522
-62,31543
-65,31619
-65,31643
-59,31738
-63,31820
-64,31841
-68,31918
-68,31948
-63,32035
-63,32054
-64,32115
-64,32144
-68,32219
-68,32246
-62,32316
-62,32344
-62,32417
-63,32443
-70,32524
-70,32546
-65,32625
-66,32646
-64,32713
-65,32738
-71,32813
-71,32835
-70,32860
-67,32939
-63,33033
-64,33055
-69,33136
-68,33232
-69,33253
-69,33333
-71,33360
-76,33432
-75,33453
-75,33518
-75,33546
-71,33622
-69,33643
-70,33722
-70,33747
-68,33831
-68,33853
-69,33927
-70,33952
-76,34031
-76,34059
-75,34132
-78,34154
-66,34235
-68,34322
-68,34344
-63,34418
-63,34447
-62,34515
-62,34542
-67,34617
-68,34639
-62,34717
-62,34741
-63,34831
-63,34855
-75,34933
-74,34956
-63,35021
-63,35048
-64,35129
-64,35157
-72,35234
-72,35254
-62,35319
-62,35344
-64,35420
-64,35441
-69,35525
-69,35548
-63,35628
